Food,Type,GI,Sugar_g,Iron_mg,Sodium_mg,Cholesterol_mg,Fiber_g,Fat_g,Protein_g,Calories,Age,Label,Disease
Tofu,Veg,78,8.4,8.0,64,112,11.8,17.3,16.2,470,23,Recommended,Asthma
Burger,Veg,89,4.8,3.2,76,109,1.8,0.4,2.0,253,20,Recommended,Tonsillitis
Almonds,Veg,30,18.4,5.4,423,139,4.5,21.8,5.0,87,47,Avoid,Obesity
Apple,Veg,38,13.8,8.1,496,31,1.7,23.1,20.9,524,23,Recommended,Renal Stone
Pasta,Veg,65,2.7,1.6,38,48,5.3,15.5,20.9,472,40,Recommended,Hypertension
Fish,Non-Veg,66,12.8,8.1,183,9,12.0,8.2,1.3,422,27,Recommended,Cholesterol
Cheese,Veg,41,7.3,4.2,91,59,10.7,12.1,2.1,249,41,Recommended,Renal Stone
Tea,Veg,36,4.3,5.5,110,40,8.7,13.1,14.4,469,54,Recommended,Bronchitis
Pizza,Veg,58,4.2,6.0,269,61,10.4,23.4,18.4,326,47,Avoid,Hypertension
Potato,Veg,37,14.1,7.3,133,96,1.0,20.5,6.3,590,64,Avoid,Obesity
Tea,Veg,68,3.7,4.7,351,61,5.6,10.5,24.0,340,77,Recommended,Anemia
Pasta,Veg,77,17.0,4.1,278,23,5.3,11.5,21.9,556,38,Recommended,Asthma
Chips,Veg,47,18.7,9.6,246,55,4.1,15.9,24.4,336,14,Avoid,Cholesterol
Red Meat,Non-Veg,30,14.6,5.3,220,1,6.7,22.0,21.6,472,55,Recommended,Bronchitis
Soy Milk,Veg,86,6.0,3.2,234,85,10.5,23.7,0.8,263,30,Recommended,Renal Stone
Yogurt,Veg,32,17.5,2.0,410,120,9.0,20.2,10.9,499,28,Avoid,Obesity
Tomato,Veg,86,19.8,7.1,271,132,10.4,9.3,0.5,124,43,Recommended,Asthma
Tofu,Veg,37,14.2,4.0,178,150,3.5,13.2,6.6,270,13,Avoid,Obesity
Green Tea,Veg,50,17.0,3.6,29,5,11.1,7.6,9.1,88,21,Recommended,Anemia
Broccoli,Veg,64,6.7,5.8,44,93,9.5,11.6,21.8,503,21,Recommended,Diabetes
Yogurt,Veg,82,2.2,1.3,410,24,7.4,24.5,9.6,504,22,Avoid,Asthma
Chips,Veg,27,2.5,6.5,19,81,5.8,15.6,20.1,488,38,Avoid,Diabetes
Fruit Juice,Veg,88,11.1,5.1,448,98,11.3,6.5,24.9,486,53,Avoid,Obesity
Beetroot,Veg,36,4.5,5.0,53,143,0.8,1.3,5.4,310,69,Avoid,Obesity
Butter,Veg,89,2.7,5.7,83,81,5.8,21.9,9.9,97,21,Avoid,Diabetes
Ice Cream,Veg,86,18.6,2.1,379,0,5.2,21.7,4.1,233,35,Avoid,Hypertension
Soy Milk,Veg,33,6.7,0.1,173,44,0.1,11.0,1.4,396,25,Avoid,Cholesterol
Broccoli,Veg,66,10.6,0.3,161,82,3.3,22.4,16.8,202,40,Recommended,Bronchitis
Honey,Veg,31,6.7,6.7,183,99,4.6,6.3,12.8,544,68,Recommended,Bronchitis
Carrot,Veg,23,2.2,1.7,432,9,3.7,22.9,5.5,145,10,Avoid,Hypertension
Oats,Veg,57,7.4,1.5,143,69,10.5,22.3,0.3,149,20,Recommended,Bronchitis
Fish,Non-Veg,30,12.1,3.6,427,150,6.1,13.9,13.2,84,45,Recommended,Asthma
Green Tea,Veg,36,12.6,0.7,342,68,2.0,20.2,23.1,201,33,Avoid,Obesity
Dark Chocolate,Veg,89,6.6,8.4,389,146,6.3,18.0,21.8,108,17,Avoid,Obesity
Lentils,Veg,86,16.1,2.6,453,60,5.8,5.3,1.2,216,25,Avoid,Diabetes
Milk,Veg,31,8.7,0.1,128,37,4.3,5.1,16.9,566,45,Avoid,Obesity
Coffee,Veg,80,2.9,3.8,485,145,6.4,16.2,1.8,416,24,Avoid,Cholesterol
Butter,Veg,90,17.1,8.7,99,90,5.1,17.7,6.1,342,17,Recommended,Hypertension
Chips,Veg,68,16.9,9.1,153,144,2.7,24.9,2.9,434,13,Avoid,Diabetes
Cucumber,Veg,72,1.8,4.3,366,38,2.5,23.3,0.6,583,51,Recommended,Asthma
Cheese,Veg,81,13.8,2.0,401,50,3.3,11.1,10.7,383,80,Recommended,Bronchitis
Ginger,Veg,25,2.7,5.9,445,24,5.3,4.3,24.1,482,66,Recommended,Cholesterol
Cheese,Veg,60,5.4,5.3,379,9,7.3,5.9,3.1,286,32,Recommended,Tonsillitis
Oats,Veg,41,3.6,4.8,57,68,9.7,24.2,3.4,478,17,Recommended,Renal Stone
White Bread,Veg,51,8.1,9.6,17,100,6.2,8.8,14.7,574,15,Recommended,Renal Stone
Peanuts,Veg,58,0.6,0.9,87,38,1.3,16.5,16.4,558,34,Recommended,Asthma
Ice Cream,Veg,71,11.2,0.8,123,79,5.3,22.3,3.4,410,75,Recommended,Renal Stone
Green Tea,Veg,36,0.7,3.4,166,89,11.1,22.6,5.3,476,11,Recommended,Diabetes
Milk,Veg,26,11.9,3.2,144,65,8.9,2.7,23.9,400,34,Recommended,Tonsillitis
Beetroot,Veg,43,19.9,0.9,135,16,2.8,7.7,24.4,565,16,Avoid,Obesity
Dark Chocolate,Veg,47,11.9,6.3,76,2,11.6,9.4,13.1,429,72,Avoid,Obesity
Soda,Veg,67,7.8,4.1,488,90,9.8,9.8,9.7,124,64,Recommended,Obesity
Berries,Veg,80,18.5,2.2,442,93,0.6,13.5,12.4,242,16,Recommended,Anemia
Soy Milk,Veg,49,3.4,4.7,452,52,1.5,6.2,13.1,584,29,Recommended,Tonsillitis
Soy Milk,Veg,67,7.3,9.9,27,19,5.1,24.4,21.9,189,38,Recommended,Bronchitis
Garlic,Veg,58,19.7,1.0,268,93,2.9,22.0,4.3,263,23,Recommended,Asthma
Tea,Veg,25,2.2,9.8,446,60,11.1,18.5,18.8,457,78,Recommended,Diabetes
Butter,Veg,38,15.9,0.2,33,53,9.9,14.2,10.2,408,46,Avoid,Cholesterol
Beetroot,Veg,25,16.3,2.9,382,49,1.8,12.1,21.9,449,39,Recommended,Anemia
Cabbage,Veg,29,6.4,9.2,112,91,4.1,11.5,23.4,155,26,Recommended,Obesity
Fruit Juice,Veg,24,13.7,7.3,348,49,8.1,9.0,21.1,359,10,Avoid,Obesity
Broccoli,Veg,27,5.9,6.6,126,144,2.1,5.0,19.1,303,34,Recommended,Diabetes
Spinach,Veg,75,13.1,8.7,384,86,0.6,17.1,22.4,460,46,Recommended,Diabetes
Brown Rice,Veg,26,3.9,1.3,480,141,6.3,14.8,5.5,165,53,Recommended,Renal Stone
Tea,Veg,90,6.5,4.4,433,84,11.4,3.8,21.2,544,34,Recommended,Anemia
Peanuts,Veg,21,4.6,1.1,412,27,7.1,17.1,10.6,287,67,Avoid,Hypertension
Brown Rice,Veg,90,5.8,3.2,216,96,6.3,14.1,15.8,267,73,Recommended,Tonsillitis
Fruit Juice,Veg,79,9.7,9.4,144,133,7.7,5.0,20.4,582,70,Recommended,Hypertension
Broccoli,Veg,82,0.8,5.1,190,121,6.4,0.5,14.4,583,26,Avoid,Obesity
Cucumber,Veg,43,18.9,9.6,157,15,5.4,5.6,2.3,594,22,Recommended,Cholesterol
Soy Milk,Veg,64,1.4,3.8,330,68,3.5,12.2,1.8,422,43,Recommended,Tonsillitis
Cabbage,Veg,61,12.1,6.0,7,138,10.2,24.0,19.7,576,33,Avoid,Obesity
Lentils,Veg,20,12.6,1.8,352,148,7.2,6.9,18.7,99,55,Recommended,Tonsillitis
Cheese,Veg,33,17.9,0.6,296,136,9.9,9.3,19.3,384,80,Avoid,Asthma
Chicken Breast,Non-Veg,22,5.8,1.0,286,67,10.7,17.4,14.1,433,27,Avoid,Anemia
Brown Rice,Veg,50,4.6,9.3,205,120,8.2,11.8,16.5,563,40,Recommended,Asthma
Cabbage,Veg,47,19.3,2.1,102,149,8.8,2.7,1.0,207,12,Avoid,Anemia
Mushroom,Veg,31,10.3,10.0,188,74,10.1,9.7,15.1,578,42,Avoid,Diabetes
Fish,Non-Veg,22,2.0,8.0,406,109,3.3,6.5,1.2,328,74,Recommended,Asthma
Fruit Juice,Veg,71,8.0,8.8,123,11,5.0,12.4,21.3,157,54,Avoid,Cholesterol
Red Meat,Non-Veg,22,7.0,8.8,232,94,2.6,10.5,18.5,525,34,Avoid,Obesity
Quinoa,Veg,58,9.5,1.1,402,57,1.6,18.6,19.0,567,28,Avoid,Hypertension
Pizza,Veg,44,14.2,2.8,47,36,3.8,20.4,8.8,113,65,Avoid,Anemia
Tea,Veg,52,6.9,3.4,222,16,8.1,12.2,19.5,197,57,Recommended,Diabetes
Berries,Veg,35,19.2,8.1,158,66,11.6,22.8,9.4,522,62,Avoid,Obesity
Tea,Veg,69,13.8,1.8,85,66,6.9,14.5,11.0,584,16,Recommended,Renal Stone
Mushroom,Veg,50,10.8,9.1,270,21,9.5,12.5,10.8,430,40,Recommended,Bronchitis
Fruit Juice,Veg,80,5.7,7.3,107,61,8.8,0.7,8.5,170,32,Recommended,Asthma
Pizza,Veg,62,9.5,1.1,83,139,10.3,10.8,24.0,241,36,Avoid,Bronchitis
Pasta,Veg,41,14.6,2.5,200,133,6.5,8.7,4.3,212,13,Recommended,Tonsillitis
Banana,Veg,69,15.5,6.2,391,12,4.8,11.4,10.9,227,58,Recommended,Renal Stone
Yogurt,Veg,43,3.3,7.9,481,126,4.1,20.9,14.2,274,44,Recommended,Diabetes
Oats,Veg,64,3.5,9.3,416,49,8.1,5.0,4.2,301,48,Recommended,Cholesterol
Green Tea,Veg,63,6.7,4.3,43,50,11.4,19.6,8.2,448,66,Recommended,Hypertension
Lentils,Veg,43,17.5,0.2,365,12,9.9,7.1,14.4,518,47,Avoid,Hypertension
Honey,Veg,61,14.0,2.7,115,118,0.4,7.6,21.7,530,29,Recommended,Hypertension
Yogurt,Veg,88,12.8,1.2,467,11,10.0,14.5,14.9,111,21,Recommended,Bronchitis
Yogurt,Veg,83,8.3,3.7,430,66,0.4,6.6,15.5,535,70,Recommended,Bronchitis
Butter,Veg,53,12.2,5.8,255,15,5.5,21.7,20.4,599,40,Recommended,Asthma
Lentils,Veg,69,3.2,0.8,470,130,3.6,14.3,12.3,164,20,Recommended,Anemia
Ginger,Veg,38,14.5,5.2,107,84,4.2,10.1,3.3,153,26,Avoid,Diabetes
Chicken Breast,Non-Veg,34,0.5,3.3,418,99,11.4,7.2,4.4,436,52,Recommended,Asthma
Fruit Juice,Veg,62,18.5,6.0,16,146,5.9,1.6,19.5,313,46,Recommended,Asthma
Pizza,Veg,24,7.6,6.6,281,77,2.3,19.5,10.6,337,52,Avoid,Diabetes
Broccoli,Veg,50,2.2,5.8,73,70,5.4,14.0,15.9,551,23,Recommended,Anemia
Yogurt,Veg,45,6.6,7.1,265,71,6.5,13.8,16.3,469,19,Avoid,Hypertension
Green Tea,Veg,72,3.1,9.2,85,36,7.9,20.7,5.5,269,33,Recommended,Tonsillitis
Berries,Veg,89,7.5,5.4,249,123,3.7,0.6,21.5,466,77,Avoid,Obesity
Onion,Veg,34,10.0,0.1,59,21,1.3,21.8,21.5,536,26,Recommended,Hypertension
Cheese,Veg,50,19.7,6.1,59,137,1.2,15.6,11.3,95,16,Recommended,Bronchitis
Sugar,Veg,37,9.2,8.3,451,20,1.6,14.0,19.8,61,37,Avoid,Diabetes
Fish,Non-Veg,86,3.7,4.9,66,119,1.6,6.7,20.1,409,57,Recommended,Hypertension
Cabbage,Veg,65,6.1,5.2,184,95,5.9,14.7,12.4,128,73,Recommended,Hypertension
Soda,Veg,62,13.1,8.4,63,62,5.7,4.3,19.4,427,61,Recommended,Renal Stone
Eggs,Non-Veg,46,3.8,0.5,123,139,6.5,19.5,4.3,110,61,Avoid,Anemia
Tofu,Veg,38,11.1,7.3,208,9,10.3,20.9,5.8,359,67,Recommended,Tonsillitis
Cabbage,Veg,44,6.9,7.4,100,45,11.2,11.6,22.1,363,20,Recommended,Bronchitis
Mushroom,Veg,30,6.9,7.2,142,87,1.5,3.5,16.0,515,19,Recommended,Diabetes
Cheese,Veg,69,7.9,4.6,10,82,2.1,20.5,3.7,311,12,Recommended,Hypertension
Fruit Juice,Veg,71,19.9,8.0,91,137,4.2,17.2,13.7,504,18,Recommended,Hypertension
Mushroom,Veg,60,12.7,0.6,161,87,10.9,12.7,0.7,302,80,Recommended,Hypertension
Honey,Veg,74,16.0,6.3,423,66,4.0,9.0,18.0,365,66,Avoid,Diabetes
Soda,Veg,73,11.3,8.7,11,35,1.2,1.9,16.5,80,55,Avoid,Diabetes
Fruit Juice,Veg,84,13.9,7.2,259,131,9.0,10.5,2.8,533,19,Avoid,Hypertension
Mushroom,Veg,87,1.9,0.7,259,131,3.9,15.1,3.7,597,32,Recommended,Tonsillitis
Green Tea,Veg,67,0.1,6.1,473,150,2.9,17.8,2.7,306,54,Recommended,Bronchitis
Apple,Veg,67,11.9,0.9,57,88,6.5,1.1,7.3,398,28,Recommended,Hypertension
Coffee,Veg,52,12.8,8.5,327,57,9.1,23.0,8.9,486,13,Recommended,Anemia
Chicken Breast,Non-Veg,67,1.0,0.9,87,144,3.8,5.0,6.3,267,15,Recommended,Obesity
Walnuts,Veg,40,13.4,2.2,128,98,10.2,15.4,6.7,406,14,Recommended,Renal Stone
Chips,Veg,76,5.3,7.7,124,8,5.6,9.6,20.8,236,63,Recommended,Tonsillitis
Yogurt,Veg,22,4.0,6.7,359,115,5.6,12.3,23.6,411,63,Recommended,Anemia
Milk,Veg,63,2.6,2.6,101,18,10.7,2.2,17.1,485,42,Recommended,Renal Stone
Milk,Veg,38,13.8,0.4,127,82,10.6,22.6,0.3,406,11,Recommended,Renal Stone
Cheese,Veg,49,7.2,3.9,238,51,3.9,5.5,4.7,87,15,Recommended,Diabetes
Soy Milk,Veg,33,1.4,7.4,218,4,4.1,21.3,11.9,527,40,Recommended,Bronchitis
Soda,Veg,83,10.1,0.5,424,135,7.5,13.5,19.6,158,28,Avoid,Cholesterol
Ice Cream,Veg,70,8.9,8.3,227,125,2.0,17.5,16.0,272,59,Avoid,Tonsillitis
Pizza,Veg,52,10.5,0.2,303,55,7.0,11.9,20.1,350,65,Avoid,Cholesterol
Cucumber,Veg,22,10.1,5.1,419,108,10.1,0.2,2.0,147,34,Recommended,Tonsillitis
Beetroot,Veg,44,15.9,4.3,197,43,3.1,17.9,2.8,290,80,Avoid,Renal Stone
Tea,Veg,51,19.6,7.8,60,26,8.6,14.9,11.4,462,44,Recommended,Asthma
Orange,Veg,33,14.3,9.7,474,28,2.4,6.7,10.1,314,76,Recommended,Cholesterol
Tea,Veg,57,6.1,3.6,497,41,6.8,20.9,1.4,395,38,Recommended,Anemia
Salt,Veg,23,9.4,5.2,389,119,5.0,10.4,21.1,498,43,Recommended,Asthma
Berries,Veg,24,18.0,1.8,67,145,7.7,22.6,7.0,177,43,Recommended,Asthma
Fish,Non-Veg,83,6.7,6.6,104,128,6.1,7.6,0.4,116,28,Avoid,Diabetes
Milk,Veg,50,1.1,5.2,267,32,7.1,23.2,12.5,287,65,Recommended,Renal Stone
Orange,Veg,77,4.5,8.4,369,84,0.1,24.3,17.5,567,36,Recommended,Asthma
Fish,Non-Veg,41,5.7,2.4,97,125,9.7,11.2,22.0,428,54,Recommended,Asthma
Ice Cream,Veg,57,15.4,2.9,37,116,9.5,22.5,19.8,96,75,Recommended,Asthma
Yogurt,Veg,75,4.8,1.7,193,0,10.0,11.9,14.5,188,21,Recommended,Bronchitis
Coffee,Veg,52,8.5,0.1,398,109,7.5,20.5,22.8,125,80,Recommended,Tonsillitis
Ginger,Veg,33,11.9,8.6,269,86,1.0,9.5,15.9,295,72,Recommended,Asthma
Potato,Veg,37,15.9,7.7,476,127,5.5,23.6,14.0,231,58,Recommended,Anemia
Honey,Veg,22,3.7,1.6,98,14,10.2,20.7,21.1,547,52,Avoid,Cholesterol
Pasta,Veg,84,1.9,3.9,475,36,5.3,18.3,1.3,542,45,Avoid,Obesity
White Bread,Veg,65,16.9,9.0,150,98,3.6,17.3,22.2,408,61,Recommended,Bronchitis
Fruit Juice,Veg,71,4.8,8.9,467,18,8.9,13.3,13.4,93,66,Avoid,Diabetes
Yogurt,Veg,54,6.8,3.1,439,75,4.6,18.0,22.0,158,50,Recommended,Anemia
Garlic,Veg,74,2.6,3.6,314,136,7.7,6.9,4.1,590,72,Avoid,Cholesterol
Fish,Non-Veg,44,7.6,7.7,419,108,1.8,14.3,2.1,301,57,Recommended,Anemia
Honey,Veg,44,17.2,0.8,275,114,10.0,18.7,4.0,289,50,Recommended,Renal Stone
Banana,Veg,73,7.4,9.7,478,118,2.9,12.6,6.2,234,69,Avoid,Hypertension
Cheese,Veg,31,2.2,4.4,258,82,7.4,18.5,21.0,207,38,Recommended,Diabetes
Spinach,Veg,70,17.7,6.9,303,27,10.5,5.9,8.5,352,51,Recommended,Tonsillitis
Potato,Veg,34,18.2,3.2,149,19,7.4,13.7,4.8,182,35,Avoid,Diabetes
Cheese,Veg,35,6.3,9.5,313,108,3.3,23.5,23.2,173,14,Recommended,Anemia
Berries,Veg,85,5.2,9.0,264,111,10.2,24.4,7.3,137,27,Avoid,Obesity
Sugar,Veg,42,14.1,4.4,166,20,2.0,4.1,22.2,103,59,Recommended,Cholesterol
Tofu,Veg,38,17.5,0.0,313,141,1.1,5.6,23.0,587,31,Recommended,Bronchitis
Onion,Veg,65,1.9,4.2,203,41,4.1,15.3,4.0,583,43,Recommended,Tonsillitis
Sugar,Veg,77,3.7,1.5,440,108,5.5,2.7,17.9,83,55,Recommended,Renal Stone
Pasta,Veg,43,12.8,3.8,62,131,11.5,14.2,10.8,330,66,Recommended,Hypertension
Fruit Juice,Veg,89,0.5,8.5,404,50,0.9,22.7,14.2,84,34,Avoid,Cholesterol
Eggs,Non-Veg,35,13.9,6.0,14,4,11.5,11.2,19.6,109,50,Recommended,Asthma
Oats,Veg,83,10.8,7.2,353,111,4.1,15.3,23.3,409,33,Recommended,Tonsillitis
Mushroom,Veg,46,5.8,8.1,216,92,4.0,10.2,9.7,84,43,Recommended,Diabetes
Almonds,Veg,65,4.0,1.4,360,133,0.8,3.2,13.0,358,56,Avoid,Renal Stone
Almonds,Veg,80,3.1,2.4,158,106,9.6,6.4,25.0,138,62,Recommended,Obesity
Coffee,Veg,38,5.0,8.4,60,121,9.0,1.2,9.3,186,52,Recommended,Bronchitis
Milk,Veg,89,4.1,9.1,124,109,5.5,8.4,5.4,209,12,Recommended,Bronchitis
White Bread,Veg,50,19.8,6.2,155,139,2.6,15.0,20.1,362,34,Recommended,Hypertension
Fish,Non-Veg,63,17.0,2.8,243,16,7.7,4.0,21.4,77,11,Recommended,Bronchitis
Honey,Veg,44,12.5,9.7,490,19,8.3,0.1,23.5,195,40,Avoid,Diabetes
Green Tea,Veg,51,6.2,3.3,447,103,11.4,6.6,18.0,515,27,Avoid,Hypertension
Soy Milk,Veg,22,19.8,3.9,349,22,11.4,8.4,11.5,468,76,Recommended,Asthma
Spinach,Veg,42,18.9,4.7,456,11,7.1,19.5,23.1,375,46,Recommended,Asthma
Onion,Veg,33,7.2,5.8,289,24,4.6,21.1,16.4,366,31,Avoid,Obesity
Eggs,Non-Veg,49,12.4,1.1,168,68,10.6,15.2,18.2,545,52,Recommended,Hypertension
Burger,Veg,27,0.4,3.4,169,116,4.5,20.2,9.2,168,40,Avoid,Bronchitis
Soda,Veg,32,16.4,0.3,477,2,4.6,0.3,18.4,281,74,Recommended,Cholesterol
Tea,Veg,36,8.2,4.1,8,131,2.2,15.6,18.0,315,45,Recommended,Hypertension
Orange,Veg,90,10.9,5.7,386,105,7.1,5.3,11.4,156,24,Recommended,Bronchitis
Almonds,Veg,53,15.4,8.0,489,30,2.2,2.0,8.1,147,70,Recommended,Bronchitis
Oats,Veg,75,8.1,4.6,89,45,2.1,2.2,8.0,139,63,Avoid,Diabetes
Soda,Veg,43,12.7,9.6,435,96,6.6,22.3,3.5,482,50,Avoid,Cholesterol
Eggs,Non-Veg,44,4.7,5.5,474,82,4.6,21.0,14.6,496,26,Recommended,Tonsillitis
Cheese,Veg,71,8.5,2.3,276,9,7.3,23.9,20.1,223,59,Recommended,Bronchitis
Potato,Veg,50,8.1,7.8,40,23,8.9,19.1,8.1,83,55,Recommended,Diabetes
Dark Chocolate,Veg,77,16.0,1.6,259,77,6.9,19.6,20.2,70,41,Avoid,Obesity
Oats,Veg,27,5.0,1.3,189,53,11.8,22.3,15.4,210,33,Avoid,Obesity
Cucumber,Veg,55,15.1,0.9,81,83,3.5,23.3,1.7,342,18,Avoid,Cholesterol
Tea,Veg,41,8.0,7.3,109,62,4.1,22.8,11.0,593,59,Recommended,Asthma
Salt,Veg,40,13.9,2.5,424,42,3.2,5.8,9.4,79,56,Avoid,Obesity
Quinoa,Veg,74,9.2,5.5,473,60,7.6,2.2,9.6,215,58,Recommended,Bronchitis
Walnuts,Veg,26,18.9,3.1,6,100,5.4,8.4,16.8,63,46,Recommended,Hypertension
Walnuts,Veg,59,6.1,0.1,121,87,5.2,20.9,18.5,477,26,Avoid,Cholesterol
Berries,Veg,87,5.4,3.5,174,13,4.2,21.6,4.4,402,50,Recommended,Tonsillitis
Red Meat,Non-Veg,37,3.1,0.3,209,67,11.0,1.0,6.6,202,34,Recommended,Tonsillitis
Mushroom,Veg,85,17.1,5.1,376,101,4.9,21.0,1.4,220,73,Avoid,Cholesterol
Sweet Potato,Veg,84,11.2,6.8,126,7,4.1,16.4,12.2,222,19,Recommended,Tonsillitis
Brown Rice,Veg,42,19.8,8.3,296,117,11.6,22.9,7.8,434,34,Recommended,Renal Stone
Lentils,Veg,36,0.5,5.5,189,15,7.4,17.5,14.9,66,15,Recommended,Renal Stone
Pasta,Veg,39,2.7,2.3,448,12,8.8,22.1,9.3,424,72,Avoid,Anemia
Coffee,Veg,26,17.0,2.3,196,82,7.2,2.7,24.1,194,25,Avoid,Cholesterol
Spinach,Veg,51,1.0,0.5,46,67,1.0,19.0,5.6,548,28,Recommended,Tonsillitis
Salt,Veg,72,1.1,1.6,36,53,8.2,15.5,20.2,504,26,Avoid,Diabetes
Sweet Potato,Veg,26,1.8,2.1,194,48,9.2,16.8,15.3,155,36,Avoid,Obesity
Onion,Veg,74,9.5,9.3,75,91,5.7,6.7,19.9,431,68,Avoid,Diabetes
Coffee,Veg,77,17.3,5.7,348,108,9.5,15.9,4.5,559,50,Avoid,Diabetes
Cucumber,Veg,87,0.0,5.7,132,116,1.5,15.1,18.8,157,50,Recommended,Bronchitis
Carrot,Veg,58,13.5,5.4,144,36,4.2,5.4,23.7,66,32,Recommended,Tonsillitis
Honey,Veg,21,12.7,3.1,426,44,7.1,2.6,2.7,348,55,Avoid,Obesity
Beetroot,Veg,63,1.2,0.5,413,70,8.2,11.4,22.8,260,80,Recommended,Asthma
Oats,Veg,53,13.9,2.9,39,88,0.7,22.2,8.7,102,77,Recommended,Tonsillitis
Green Tea,Veg,54,6.6,8.0,366,115,11.6,20.9,22.4,247,54,Recommended,Renal Stone
Coffee,Veg,84,15.7,6.0,82,129,7.3,24.6,11.4,333,58,Recommended,Renal Stone
Burger,Veg,46,19.8,8.0,300,2,4.4,12.7,17.8,99,60,Avoid,Obesity
Eggs,Non-Veg,72,16.0,8.3,424,120,4.9,5.1,12.2,519,34,Recommended,Tonsillitis
Brown Rice,Veg,31,2.2,2.6,312,61,11.4,19.4,8.3,265,42,Avoid,Obesity
Tomato,Veg,56,13.1,6.0,189,12,2.0,16.3,2.6,558,68,Avoid,Cholesterol
Pizza,Veg,57,10.3,3.2,270,20,4.7,23.6,12.4,393,17,Avoid,Diabetes
Spinach,Veg,54,2.7,4.2,248,52,0.9,14.3,23.1,580,75,Recommended,Anemia
Eggs,Non-Veg,55,14.5,8.5,197,5,3.5,0.6,14.1,269,70,Avoid,Obesity
Tofu,Veg,36,4.4,4.5,229,70,11.4,6.7,14.1,111,64,Avoid,Hypertension
Tofu,Veg,34,7.4,4.1,439,31,3.4,0.6,3.9,568,56,Recommended,Anemia
Garlic,Veg,88,10.8,7.9,214,21,11.0,16.9,8.3,136,28,Recommended,Asthma
Onion,Veg,78,9.0,3.2,300,128,2.5,1.6,5.5,88,13,Recommended,Tonsillitis
Ginger,Veg,45,17.5,5.6,291,140,10.1,20.4,14.8,357,32,Recommended,Bronchitis
Butter,Veg,68,12.7,2.2,274,94,9.4,11.1,13.2,334,47,Avoid,Hypertension
Apple,Veg,64,14.4,0.3,178,92,8.6,16.8,2.4,379,26,Avoid,Diabetes
Yogurt,Veg,88,9.2,0.8,444,47,6.2,10.6,17.9,51,18,Recommended,Bronchitis
Broccoli,Veg,72,16.5,0.7,179,7,6.3,24.0,3.8,262,79,Recommended,Tonsillitis
Pizza,Veg,52,1.3,0.8,63,146,8.7,3.4,20.0,592,70,Avoid,Anemia
Eggs,Non-Veg,67,12.7,5.8,247,4,0.4,15.4,14.5,358,12,Avoid,Cholesterol
Oats,Veg,84,4.1,5.6,259,66,3.9,7.9,15.4,122,76,Avoid,Hypertension
Tofu,Veg,37,10.0,8.3,486,88,7.9,8.0,13.4,541,58,Avoid,Hypertension
Tomato,Veg,71,12.3,0.5,236,55,9.2,17.2,10.8,218,15,Recommended,Bronchitis
Pizza,Veg,32,18.8,2.7,49,116,4.1,8.5,8.1,60,14,Recommended,Tonsillitis
White Bread,Veg,84,6.7,5.0,264,32,7.1,7.1,12.0,143,53,Avoid,Diabetes
Oats,Veg,46,15.2,1.7,266,37,2.9,10.0,21.2,106,75,Avoid,Obesity
Chips,Veg,60,8.4,5.3,231,82,8.2,6.3,12.2,315,30,Avoid,Cholesterol
Onion,Veg,57,4.3,5.7,73,76,11.2,22.6,3.1,374,29,Recommended,Hypertension
Spinach,Veg,57,4.5,4.6,342,130,11.8,0.0,6.8,335,38,Recommended,Diabetes
Honey,Veg,89,17.8,1.8,367,95,7.9,11.8,23.6,218,48,Avoid,Cholesterol
Spinach,Veg,49,19.6,2.3,266,77,7.6,15.4,19.9,396,37,Avoid,Renal Stone
Honey,Veg,62,18.4,5.4,147,14,9.9,18.3,23.8,80,79,Recommended,Anemia
Cucumber,Veg,38,17.7,6.1,200,126,11.8,20.5,8.2,511,26,Avoid,Cholesterol
Chips,Veg,25,1.4,6.9,385,145,6.5,7.9,17.2,52,49,Avoid,Cholesterol
Butter,Veg,48,18.9,9.8,119,90,11.9,16.8,3.3,370,49,Recommended,Asthma
Sweet Potato,Veg,61,4.5,4.6,369,82,5.6,18.8,16.3,197,29,Recommended,Tonsillitis
Sugar,Veg,38,15.2,2.3,397,0,7.5,16.9,23.4,563,76,Recommended,Renal Stone
Potato,Veg,63,12.6,2.1,345,87,2.2,18.2,19.6,342,58,Avoid,Anemia
Cheese,Veg,71,7.8,5.7,438,31,4.4,1.3,7.4,135,63,Avoid,Asthma
Potato,Veg,89,3.9,9.0,445,94,6.7,13.2,20.9,473,64,Recommended,Anemia
Tea,Veg,34,9.2,6.6,396,31,7.0,18.8,1.1,370,63,Recommended,Anemia
Soda,Veg,75,3.2,3.4,137,19,5.1,5.7,9.0,266,21,Recommended,Cholesterol
Yogurt,Veg,20,13.7,3.5,275,6,10.1,3.8,8.1,347,55,Recommended,Anemia
Salt,Veg,45,6.8,1.3,494,36,4.5,20.2,13.4,209,48,Recommended,Renal Stone
Red Meat,Non-Veg,80,19.6,8.7,140,67,11.2,7.9,21.8,98,23,Recommended,Renal Stone
Soda,Veg,31,18.1,9.5,17,127,0.4,17.8,21.5,116,70,Avoid,Tonsillitis
Chicken Breast,Non-Veg,43,16.1,8.2,123,110,2.3,24.1,5.0,153,42,Recommended,Anemia
Orange,Veg,62,2.4,4.2,74,87,3.2,24.7,20.2,53,16,Recommended,Asthma
